src,dst,travelMinutes,weight
14,4811,1.68,0.9159
4811,14,1.68,0.9159
14,12221,1.94,0.9031
12221,14,1.94,0.9031
14,9411,2.12,0.894
9411,14,2.12,0.894
14,11172,2.12,0.8938
11172,14,2.12,0.8938
14,12646,2.17,0.8914
12646,14,2.17,0.8914
15,538,0.17,0.9915
538,15,0.17,0.9915
15,13725,0.77,0.9617
13725,15,0.77,0.9617
15,13265,1.07,0.9465
13265,15,1.07,0.9465
15,13049,7.02,0.6491
13049,15,7.02,0.6491
15,7488,8.0,0.6
7488,15,8.0,0.6
15,13738,8.02,0.5991
13738,15,8.02,0.5991
15,12928,8.12,0.5942
12928,15,8.12,0.5942
15,6698,8.17,0.5915
6698,15,8.17,0.5915
16,5854,0.15,0.9926
5854,16,0.15,0.9926
16,1049,0.6,0.97
1049,16,0.6,0.97
16,2641,0.7,0.9652
2641,16,0.7,0.9652
16,13824,0.7,0.9651
13824,16,0.7,0.9651
16,2240,0.72,0.9642
2240,16,0.72,0.9642
16,1947,0.77,0.9617
1947,16,0.77,0.9617
16,5838,0.81,0.9595
5838,16,0.81,0.9595
16,397,0.89,0.9553
397,16,0.89,0.9553
17,471,0.53,0.9736
471,17,0.53,0.9736
17,2278,0.54,0.9728
2278,17,0.54,0.9728
17,12791,1.61,0.9195
12791,17,1.61,0.9195
17,859,1.8,0.9101
859,17,1.8,0.9101
17,4301,1.81,0.9096
4301,17,1.81,0.9096
17,5120,1.81,0.9096
5120,17,1.81,0.9096
17,387,2.7,0.8649
387,17,2.7,0.8649
17,84,2.75,0.8626
84,17,2.75,0.8626
18,12828,0.27,0.9863
12828,18,0.27,0.9863
18,12203,0.29,0.9855
12203,18,0.29,0.9855
18,4688,0.34,0.983
4688,18,0.34,0.983
18,2270,0.4,0.9799
2270,18,0.4,0.9799
18,12751,0.83,0.9583
12751,18,0.83,0.9583
18,672,0.97,0.9517
672,18,0.97,0.9517
18,11580,0.97,0.9517
11580,18,0.97,0.9517
18,12405,1.01,0.9496
12405,18,1.01,0.9496
19,9696,0.0,0.9998
9696,19,0.0,0.9998
19,3931,0.01,0.9996
3931,19,0.01,0.9996
19,12600,1.32,0.9341
12600,19,1.32,0.9341
19,1143,1.41,0.9295
1143,19,1.41,0.9295
19,13671,1.83,0.9083
13671,19,1.83,0.9083
19,1127,2.05,0.8977
1127,19,2.05,0.8977
19,4111,2.16,0.8919
4111,19,2.16,0.8919
19,4833,2.97,0.8515
4833,19,2.97,0.8515
20,6664,0.46,0.977
6664,20,0.46,0.977
20,4455,0.63,0.9686
4455,20,0.63,0.9686
20,13400,0.71,0.9643
13400,20,0.71,0.9643
20,274,0.74,0.9631
274,20,0.74,0.9631
20,6666,0.81,0.9594
6666,20,0.81,0.9594
20,13628,1.11,0.9444
13628,20,1.11,0.9444
20,272,1.64,0.9179
272,20,1.64,0.9179
20,171,1.95,0.9026
171,20,1.95,0.9026
21,10165,0.43,0.9784
10165,21,0.43,0.9784
21,3285,0.43,0.9784
3285,21,0.43,0.9784
21,3076,0.57,0.9713
3076,21,0.57,0.9713
21,9537,0.71,0.9646
9537,21,0.71,0.9646
21,437,0.72,0.9642
437,21,0.72,0.9642
21,6495,0.72,0.9638
6495,21,0.72,0.9638
21,864,0.81,0.9594
864,21,0.81,0.9594
21,7803,0.85,0.9577
7803,21,0.85,0.9577
22,657,0.1,0.9948
657,22,0.1,0.9948
22,12962,0.47,0.9766
